question,answer_agent,answer_orig,tool_calls,cost,document
Can the homework tasks still change even if I already started them?,"Yes — if the homework is marked as not ready yet, it can still change even after you’ve started it.

The FAQ says the homework is only considered ready when both of these are true:

- the homework form is open on the course platform, and
- the homework title does not contain `[DRAFT]`

Until then, the content can still change, so working on it early is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""homework tasks change after started started them can they still change FAQ\""}""}]",0.00123675,96286b4be4
Is it safe to do the homework early if the title still says [DRAFT]?,"No — if the homework title still says `[DRAFT]`, it is **not ready yet**.

The FAQ says the homework is ready only when **both** are true:
- the homework form is open on the course management platform, and
- the title **does not** contain `[DRAFT]`.

Until then, you can work on it, but it’s **at your own risk** because the final version may still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""[DRAFT] homework early safe title says DRAFT FAQ\""}""}]",0.00138075,96286b4be4
When is the next run of this course going to happen?,The next run of the course is **Summer 2027**.,Summer 2027.,"[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""next run of this course when is the next run course date\""}""}]",0.00103425,bd31146b0e
Do you know what term the course is scheduled for again?,The course is scheduled for **Summer 2027**.,Summer 2027.,"[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""course scheduled term when is the course offered term scheduled again semester FAQ\""}""}]",0.00108975,bd31146b0e
Is there a date for the next time this class will be offered?,Yes — the FAQ says the course will be offered next in **Summer 2027**.,Summer 2027.,"[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""next time class will be offered date next offering schedule FAQ\""}""}]",0.00078675,bd31146b0e
When should I expect this course to open up again?,"I couldn’t find a FAQ entry that says when the course will “open up again.”

What the FAQ does say is:
- you can start learning and submitting homework while the submission form is open
- if the form is still open, you can still submit even after the listed deadline
- once the form is closed, submissions are no longer accepted

If you want, I can also help look up whether there’s a note about the next cohort/start date.",Summer 2027.,"[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""course reopen open up again when should I expect course to open again FAQ\""}""}]",0.0013875,bd31146b0e
Will this course be available in Summer 2027?,Yes — the FAQ says the course will be offered next in **Summer 2027**.,Summer 2027.,"[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""course available Summer 2027 availability future term summer 2027 FAQ\""}""}]",0.0011655,bd31146b0e
Where do I find the course videos for each lesson?,"The course videos are linked in the **LLM Zoomcamp GitHub repository**.

- Open the **lesson folders** in the repo.
- Each **lesson page** has the relevant videos linked **at the top**.
- The GitHub repo is the best place to check first because it’s easier to keep updated than the YouTube playlist.

Repo: https://github.com/DataTalksClub/llm-zoomcamp","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""course videos each lesson where find videos lesson FAQ\""}""}]",0.00134625,31456f4b5f
Is there a main page or repo I should start with for the lectures?,"Yes — the main entry point is the **LLM Zoomcamp GitHub repository**:

https://github.com/DataTalksClub/llm-zoomcamp

Start by opening the **lesson folders** there. Each lesson page has the relevant videos linked at the top. If you’re unsure where to begin, use the GitHub repo first since it’s usually updated more reliably than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""main page repo lectures start with lectures FAQ\""}""}]",0.0013185,31456f4b5f
"I can't find the videos in YouTube, where are the lesson links posted?","The lesson videos aren’t posted on YouTube first — the **GitHub repo is the main entry point**.

- Go to the **LLM Zoomcamp GitHub repository**
- Open the relevant **lesson folder**
- Each lesson page has the **video links at the top**

So if you can’t find them on YouTube, check the repo first since it’s usually more up to date than the playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""videos YouTube lesson links posted where are lesson links posted\""}""}]",0.00130725,31456f4b5f
Do the lesson folders include the lecture recordings somewhere?,"Yes — the lesson folders in the GitHub repo include the relevant lecture videos/recordings linked at the top of each lesson page.

The FAQ says to use the LLM Zoomcamp GitHub repository as the main entry point, and when in doubt, follow the GitHub repo first since it’s easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""lesson folders lecture recordings included somewhere where are lecture recordings stored in lesson folders FAQ\""}""}]",0.00124575,31456f4b5f
What's the best place to check first if I want the latest course videos?,"The best place to check first is the **LLM Zoomcamp GitHub repository**. It’s the main entry point, and each lesson page has the relevant videos linked at the top. It’s also easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.","[{""name"": ""search_tool"", ""arguments"": ""{\""query\"":\""latest course videos where to check first\""}""}]",0.00113175,31456f4b5f
