question,document
"How can I tell if a generated Kestra BigQuery load block is wrong because it split the destination into project, dataset, and table?",93a3e8b98c
What’s the best way to avoid getting invalid Kestra YAML from a generic AI assistant?,93a3e8b98c
"Do Kestra plugin options change between versions, and how do I make sure the YAML matches the version I’m running?",93a3e8b98c
Why would I keep an eye on token counts in a Kestra flow instead of just looking at the final bill?,a4adc70f41
How can I use token tracking in scheduled LLM jobs to avoid surprise costs?,a4adc70f41
What’s the point of logging prompt and response token usage in each AI step?,a4adc70f41
Can token metrics help me spot prompts that are too long or wasteful?,a4adc70f41
How do I set up warnings so a looping workflow doesn’t burn through my budget?,a4adc70f41
How can I stop Docker Desktop from blocking a folder under /tmp when I start Kestra with compose?,dd8b4c9fda
Where do I add /tmp or /tmp/kestra-wd in Docker Desktop so the container can use it?,dd8b4c9fda
What should I change in Docker Desktop if I get a mount denied error for a host path not being shared?,dd8b4c9fda
"Why does my Kestra container fail with a shared path error, and how do I allow that folder in Docker Desktop?",dd8b4c9fda
"After I update Docker Desktop file sharing, do I need to restart and run docker compose again for Kestra?",dd8b4c9fda
"Why am I getting a 404 NOT_FOUND error from Gemini in the Kestra flow, and how do I fix it?",d51bbe2da0
"If the model in the course YAML is unavailable for my account, what should I change in the Kestra config?",d51bbe2da0
Do I need to update the model name in docker-compose too if Gemini stops working there?,d51bbe2da0
How can I tell which Gemini model ids are currently usable instead of the one from the lesson?,d51bbe2da0
"Should I assume the Gemini model was removed forever when Kestra says it's unavailable, or is there another explanation?",d51bbe2da0
"For the Module 3 Kestra homework, what am I supposed to put in the public repo if I only worked in the Kestra UI and didn't really code locally?",f29f622684
Do I need to export the flows from Kestra and upload those YAML files to GitHub for the homework submission?,f29f622684
"If I changed any scripts that the Kestra flows use, should those files also be included in the repo I submit?",f29f622684
"Is a README enough for the Module 3 homework, or do I still need to add the actual flow files to the repository?",f29f622684
"Where should I place the Kestra homework files in my repo, and do I submit the answers in the repo or in the form fields?",f29f622684
Why do I get JSONDecodeError: Expecting value when I try to parse the LLM output for ground-truth questions?,a3c7e1b4f9
How can I make the model return only valid JSON instead of a code block or extra text?,a3c7e1b4f9
Is there a way to force OpenAI chat completions to give me a JSON object directly?,a3c7e1b4f9
What should I put in the prompt so the model outputs exactly a questions list and nothing else?,a3c7e1b4f9
"Do other LLM APIs have a similar option for JSON output, like OpenAI's response_format?",a3c7e1b4f9
Why does my Jupyter notebook kernel die when I try to create embeddings for the ground-truth data in the eval part of Module 4?,b8f2d6a30c
What can I do if embedding the whole label set in one notebook keeps crashing because my machine runs out of memory?,b8f2d6a30c
Is there a lighter embedding model I can swap in for the eval notebook if the default one is too heavy on RAM?,b8f2d6a30c
"Should I rerun the evaluation metrics after changing to a different embedding model, or can I keep the old scores?",b8f2d6a30c
What’s the best way to avoid memory issues when embedding a big ground-truth set on Codespaces or a low-RAM laptop?,b8f2d6a30c
"I'm trying to build the ground-truth set for the eval part and keep getting rate limit errors from Gemini. I already added a small sleep between calls, but it still dies during a long run. What am I missing, and how do I avoid losing progress?",c1e9f4b820
"For the dataset generation step in Module 4, what's a good backup if the free Gemini quota is too tight for one full pass? I'd rather not keep fighting the limit every time.",c1e9f4b820
"When I use a thread pool to generate answers, should I just increase workers to go faster, or is there a safer number so I don't get blocked by the API too quickly?",c1e9f4b820
Is there a cheap model/service that works well for creating the eval labels or embeddings without running into tiny request limits all the time?,c1e9f4b820
"If the job gets interrupted halfway through because of request caps, what's the best way to continue later without starting the whole ground-truth generation from scratch?",c1e9f4b820
Why do the lesson files in Module 4 jump from 06 to 11? I thought some lessons were missing.,57c8d3a1e4
"Is there actually a gap in Module 4, or is it split into different parts with separate numbering?",57c8d3a1e4
How should I read the filenames in Module 4 when they go 01-06 and then 11-15?,57c8d3a1e4
"Why does the module start a second sequence at 11 instead of continuing with 07, 08, 09, and 10?",57c8d3a1e4
What’s the reason lesson 06 is followed by an 11 in the evaluation module files?,57c8d3a1e4
Why would MRR go up even if Hit Rate doesn’t change after reranking?,8a5ece0688
Can Hit Rate stay the same while the first relevant result gets closer to the top?,8a5ece0688
"If a search system still finds relevant docs in top-k, how can its MRR improve?",8a5ece0688
When should I suspect a bug if my Hit Rate and MRR come out exactly equal?,8a5ece0688
What should I check in my eval code if MRR changes but Hit Rate stays flat?,8a5ece0688
How do I fix the WinError 126 issue on Windows when Python says it can’t load fbgemm.dll from torch?,15e931476c
What should I install if PyTorch fails with a missing module error on Windows and mentions fbgemm.dll or a dependency?,15e931476c
"Is Visual Studio Code enough for the torch fbgemm.dll error, or do I need the full Visual Studio on Windows?",15e931476c
Why am I getting an OSError about fbgemm.dll not being found in my Python site-packages folder on Windows 10/11?,15e931476c
What are the usual steps to resolve the PyTorch import error about fbgemm.dll and missing dependencies on Windows?,15e931476c
"Why do I get psycopg2 OperationalError saying it can't translate host name ""postgres"" when I run prep.py?",4b65d5542d
"What should I change in my .env file if the database host ""postgres"" is not resolving?",4b65d5542d
I'm seeing a host lookup error for postgres during python prep.py. How can I fix the connection settings?,4b65d5542d
Is POSTGRES_HOST supposed to be localhost instead of postgres in the env config?,4b65d5542d
How do I update the database host value so prep.py stops failing with a no such host error?,4b65d5542d
How can I make Pandas stop cutting off long text in a column and show the full content instead?,641aedbbf5
What setting do I need to change if I want to see the whole Explanation text in the notebook output?,641aedbbf5
"Why does my dataframe display only part of a long string, and how do I get the full cell text to appear?",641aedbbf5
Is there a quick Pandas option for showing an entire long column value without the ... truncation?,641aedbbf5
"In the offline rag eval notebook, how do I display the complete judge explanation for one row?",641aedbbf5
How can I scale each vector in a pandas column to unit length?,5039707c1a
What's the easiest way to normalize vectors stored inside a DataFrame column?,5039707c1a
How do I apply vector normalization to every item in a pandas Series?,5039707c1a
Can I use numpy to normalize array values in one DataFrame column?,5039707c1a
What’s a simple way to make each vector in a pandas column have norm 1?,5039707c1a
How do I get the 75th percentile of a Pandas DataFrame column?,b4c8ac5a0c
What's the easiest way to find a column's 0.75 quantile in Pandas?,b4c8ac5a0c
How can I calculate a percentile for a Pandas Series?,b4c8ac5a0c
"In Pandas, how do you compute the quantile value for one column?",b4c8ac5a0c
Is there a simple function to get the 75% point from a DataFrame column?,b4c8ac5a0c
"How do I wipe out every Docker container from the command line, even the ones that are still running?",66ccbb7da0
What’s the quickest way to force-delete all Docker images on my machine using terminal commands?,66ccbb7da0
How can I clear every Docker volume I have without doing it one by one?,66ccbb7da0
"Is there a simple terminal command to remove all containers, images, and volumes in Docker at once?",66ccbb7da0
"If I want a full Docker cleanup from the shell, what commands should I run for containers, images, and volumes?",66ccbb7da0
How can I make Streamlit let a user rate a submission only one time with thumbs up or down?,2e729f1271
Why does my Streamlit session flag keep flipping back to true after I click a feedback button?,2e729f1271
I have an ask button and feedback buttons in Streamlit — how do I keep the feedback disabled until a new prompt is submitted?,2e729f1271
What’s the best way to stop Streamlit session state from getting reassigned after a vote is already given?,2e729f1271
Is there a fix for Streamlit session variables being reset when I try to track whether a submission has already been answered?,2e729f1271
How can I make RAGWithMetrics work with Gemini or another model that only supports chat completions?,01517c80df
Which parts of the course RAGWithMetrics class need to change if the API response shape is different from OpenAI Responses?,01517c80df
Where do I get the answer text and token usage when using an OpenAI-style chat completions endpoint?,01517c80df
Do I need to replace LLMCallRecord or RAGBase when switching to a provider like Gemini?,01517c80df
What should I do about cost tracking if calculate_cost only knows the OpenAI pricing?,01517c80df
"Why am I getting an error like exec: ""streamlit"": executable file not found in $PATH when I start my app with docker-compose, even though it works locally?",e8df9f0d12
What do I need to add so docker-compose can actually run my Streamlit app inside the container?,e8df9f0d12
"Do I have to create a Dockerfile for a Streamlit app before using docker-compose, or can I just run it as-is?",e8df9f0d12
"After changing my compose setup for Streamlit, what’s the right way to rebuild and launch everything again?",e8df9f0d12
My Streamlit app runs outside Docker but crashes in compose with a missing executable message—what am I missing in my Docker setup?,e8df9f0d12
"Is the capstone supposed to be done alone, or can we team up for it?",0fab61eca2
Can two people work on the same project idea if each of us submits our own version?,0fab61eca2
"If I collaborate with someone, does my capstone still need to be fully independent?",0fab61eca2
Would a shared system be allowed if each person has their own separate part and repo?,0fab61eca2
How strict is the rule about each capstone being evaluable on its own?,0fab61eca2
"Do I need to turn in two capstone projects, or is it just one project with two submission rounds?",d5fc98925d
"What does attempt 1 vs attempt 2 mean for the capstone submission, and can I resubmit if the first one doesn't pass?",d5fc98925d
"If I miss the first submission deadline, can I still submit later for the second window?",d5fc98925d
"Can I submit two different projects just for practice, and do they need to be on different data and tasks?",d5fc98925d
Does my capstone submission count for the certificate if I don’t review three classmates’ projects?,d5fc98925d
"Can I use the math-kaggle LLM competition for my capstone project, or are they separate things?",e892d44e42
"If I join the math-kaggle competition with other people, does that count as team capstone work?",e892d44e42
"Is the capstone in this course supposed to be done by one person only, even if I do the competition as a group?",e892d44e42
"Does taking part in the competition replace the capstone requirement, or do I still need to do the project separately?",e892d44e42
"Can I team up with others for the competition, and still have my own individual capstone submission?",e892d44e42
How will capstone projects be graded in this course?,9a2e2d2008
"Who reviews my capstone submission, and do I also need to review other students' projects?",9a2e2d2008
"If I skip grading other people's projects, can that affect whether I get the certificate?",9a2e2d2008
How is the final score for the capstone calculated from the peer reviews?,9a2e2d2008
What rules or criteria should peer reviewers use when evaluating capstone projects?,9a2e2d2008
How are capstone projects distributed for peer review after the deadline?,eae0fb50aa
Will everyone get assigned the same number of projects to grade in the capstone?,eae0fb50aa
What happens after the capstone submission deadline in terms of reviewing projects?,eae0fb50aa
Do we get a list or spreadsheet of the projects we need to evaluate?,eae0fb50aa
How many capstone projects am I supposed to review once the deadline is over?,eae0fb50aa
"I submitted my capstone already, so why don’t I see anything to review yet?",a8a7fef016
When will projects show up for me to grade after the deadline is over?,a8a7fef016
"Can I pick which capstone projects I want to evaluate, or are they assigned automatically?",a8a7fef016
Is there any way to start reviewing projects before the project list gets released?,a8a7fef016
"I finished my submission, but the review page is empty — is that normal?",a8a7fef016
Where can I look for project ideas and datasets for the capstone?,e76a70cde3
Is there a page with some dataset suggestions for the final project?,e76a70cde3
What’s the best place to get inspiration for a capstone idea in this course?,e76a70cde3
Can you point me to resources with example datasets and project directions?,e76a70cde3
Do we have any guide or repo with ideas and tips for the project?,e76a70cde3
"Do I really need Airflow, Mage, or Kestra for the capstone ingestion part, or is a simple Python script enough?",d4f7c08ea1
"If I build the ingestion and indexing in a Jupyter notebook, will that count the same as a script for the project score?",d4f7c08ea1
When does it actually make sense to use an orchestrator in the capstone instead of just coding the pipeline in Python?,d4f7c08ea1
Can I get full points for the ingestion pipeline criterion without using any workflow tool at all?,d4f7c08ea1
"Is it worth adding an orchestration tool just to satisfy the capstone requirements, or should I skip it if the project doesn’t need it?",d4f7c08ea1
How can I test a recommender-type RAG when I don’t have clear correct answers to compare against?,9b0e2d6a47
What’s a good way to create eval queries automatically from my item descriptions for retrieval testing?,9b0e2d6a47
"If I’m measuring ranked results, should I use hit rate or something like NDCG, and why?",9b0e2d6a47
"Can I ask an LLM to judge the output of my RAG app, and how would I set that up?",9b0e2d6a47
"For ranking tasks where several results could be fine, what metric makes more sense than only checking the top match?",9b0e2d6a47
What’s a good way to split a huge PDF corpus for a RAG project without overthinking the chunk size too much?,6f2a8b3d10
Should I start with fixed-length chunks or some smarter document splitting method for long PDFs?,6f2a8b3d10
Is it worth adding short summaries to each chunk when indexing big documents?,6f2a8b3d10
"For legal or financial docs, is hybrid search better than just vector search after chunking?",6f2a8b3d10
Which tools are best for turning PDFs into clean markdown before I chunk them up?,6f2a8b3d10
"What does reproducibility mean for the capstone project, and do reviewers need my API keys?",e5d8a2c761
How should I set up my repo so someone else can rebuild the search index from the dataset?,e5d8a2c761
"Should I include a .env file in the project, or is there a safer way to handle secrets?",e5d8a2c761
What’s the best way to make sure my project is cheap to run for reviewers when they test it?,e5d8a2c761
Do I need to lock dependency versions and mention the Python or Docker version somewhere?,e5d8a2c761
"Can I do the homework and capstone in a language besides Python, like Go or JavaScript, or is Python basically required?",ea815eb858
"If I build my project with a non-Python stack, what kind of explanation do I need to include so the reviewer can run it?",ea815eb858
"What should I put in the README if my final project uses something other than Python on Windows, macOS, and Linux?",ea815eb858
"Is it okay to submit a project in Rust, Java, Scala, C#, or R, or does that make grading harder?",ea815eb858
"For a project not written in Python, what level of setup and run instructions are expected so it’s easy to reproduce?",ea815eb858
Where do I look if I want to see earlier LLM Zoomcamp capstone projects?,930286278d
Is there a place with submitted project repos from past LLM Zoomcamp runs?,930286278d
Can I check some previous LLM Zoomcamp projects to get an idea of what to build?,930286278d
"Do you have links to older LLM Zoomcamp project examples, like for 2024 or 2025?",930286278d
Where can I find past capstone submissions for the LLM Zoomcamp course?,930286278d
Do I have to reserve my capstone idea before I start working on it?,897a350476
"Should I announce my project topic somewhere first, or can I just begin?",897a350476
"If I want feedback on my capstone idea, where should I ask?",897a350476
Is it okay to do a project on a topic that someone else already used before?,897a350476
Can I use a similar idea to past projects as long as my own build is different?,897a350476
Can I make my capstone as a Telegram or WhatsApp bot instead of a website?,7318a90b14
"Is there any requirement that the project has to be a web app, or can I expose it through a CLI or Slack bot?",7318a90b14
"If I build my project in a notebook, would that still be okay for the final submission?",7318a90b14
"Are there any rules about how users should access the project, or can I choose whatever interface fits my idea?",7318a90b14
"Will the course show me how to create the interface, or do I need to handle that part myself?",7318a90b14
What’s the best tool for pulling text out of PDFs for a RAG project?,d8b28c47a0
"If my files are scanned PDFs with no text layer, what should I use to get the text?",d8b28c47a0
Is there any recommended library for turning PDFs into Markdown or JSON for RAG?,d8b28c47a0
Can I use an OCR API instead of running OCR locally for document extraction?,d8b28c47a0
How do I decide which PDF text extraction tool works best on my documents?,d8b28c47a0
Can I use the workshop stuff in my own capstone or side project?,d850a0e7ea
Is it okay to reuse the dlt examples from this workshop for another Zoomcamp project?,d850a0e7ea
"Since dlt is open-source, am I allowed to take the workshop material and build on it for my own work?",d850a0e7ea
Can I ask questions about using these workshop resources in a project I’m doing?,d850a0e7ea
Would it be fine to use this data-ingestion workshop content in something like an MLOps project?,d850a0e7ea
How do I create a fresh dlt project for pulling data from cloud storage?,6bceeebf04
What command should I run to start a dlt setup with filesystem and DuckDB?,6bceeebf04
"If I want to load files from cloud into DuckDB, how do I initialize the project?",6bceeebf04
Where do I begin when setting up dlt for a cloud-based file ingestion workflow?,6bceeebf04
Is there a simple command to bootstrap a dlt project for filesystem data into DuckDB?,6bceeebf04
Why am I getting FileNotFoundError for `notion_pages___homework` when I try to open the table?,0407213397
"I changed the table name to homework, but it still says the table doesn't exist — what did I miss?",0407213397
"How do I fix the issue where `db.open_table(""notion_pages___homework"")` fails with a missing table error?",0407213397
Is there another place besides the table name where I need to replace `employee_handbook` with `homework`?,0407213397
"My pipeline runs, but opening the table throws an error saying it wasn't created. What setting should I check?",0407213397
How do I fix FileNotFoundError for the notion_pages___homework table in main()?,e95bfafc0e
Why am I getting an error that says the table does not exist when I run the homework pipeline?,e95bfafc0e
What table name should I open in line 3 so the notebook can find the homework data?,e95bfafc0e
I keep seeing db.create_table(...) missing for notion_pages___homework — what am I supposed to change?,e95bfafc0e
"In the dlt workshop homework, what is the correct way to open the Notion pages table?",e95bfafc0e
How can I see all the tables currently in my database?,e394e6f738
Is there a quick way to list table names in the db?,e394e6f738
What method do I use to check which tables were created?,e394e6f738
How do I find out what tables exist in the database right now?,e394e6f738
Can I print out every table name from the database somewhere?,e394e6f738
"Does dlt support ClickHouse or StarRocks connectors yet, or is that still missing?",cd19f122f3
Can I use dlt to load data into ClickHouse or StarRocks somehow?,cd19f122f3
"Are there plans for ClickHouse and StarRocks support in dlt, or would that need community work?",cd19f122f3
Is there any built-in connector in dlt for ClickHouse or StarRocks right now?,cd19f122f3
"If dlt doesn't have ClickHouse or StarRocks connectors, can people add them themselves?",cd19f122f3
Why am I getting a 401 Unauthorized error when my notebook tries to call the Notion search endpoint?,0dfba07ace
What should I check if my notebook says it can’t access secrets for the Notion API?,0dfba07ace
"Could this Notion API error be caused by a wrong token or expired credentials, and how do I fix it?",0dfba07ace
How do I make sure I’m using the right Notion endpoint and auth settings in my notebook?,0dfba07ace
"If the Notion request keeps failing with unauthorized access, what are the main things I should verify?",0dfba07ace
How do I install the newer requests version from the source if pip keeps giving me an older one?,4b30b918bc
What command should I use to get requests 2.32.3 directly instead of the default package version?,4b30b918bc
"Why might I be seeing a 401 Client Error when trying to set up the package, and is it a key access issue?",4b30b918bc
Is there a way to force-install the exact requests release needed for lancedb from GitHub?,4b30b918bc
"My install keeps pulling requests 2.28, how can I make it use the version required for this workshop?",4b30b918bc
Why am I getting 401 Unauthorized with my EU Logfire token even though the token looks right?,46efd1088d
Could my .env file be loading after logfire.configure() and causing Logfire to use the wrong token?,46efd1088d
How can I tell if I accidentally used a read token instead of a write token for Logfire?,46efd1088d
"Does load_dotenv() overwrite an existing LOGFIRE_TOKEN, or do I need to pass override=True?",46efd1088d
"If the SDK still sends my EU token to the wrong place, should I set LOGFIRE_BASE_URL manually?",46efd1088d
